ITEM_ID,ITEM_NAME,BRAND,L2_CATEGORY,L1_CATEGORY,MRP,SELLING_PRICE,DISCOUNT_PCT
0OSOKMWQ64,embryolisse lait-creme concentre - moisturizer and primer,embryolisse,beauty and grooming,beauty and grooming,2595.0,2595.0,0.0
49IVSZR1XC,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2590.91,13.64
JR8ALORXP9,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
QAU6XXLXMO,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
0MDB7I1BTJ,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
09D374Z4NI,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
15XSHHTKSC,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
XS3WDR6S67,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
APMA4AV47H,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
TJ3MHZQ0XD,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
AAJ0F9RSBK,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
WAWH32DIHF,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
ND21F2HCZQ,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
26C6JTH7ZC,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
V1XM4XNWU7,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
BSOQFLRCON,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
NNIQL1CR6N,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
HLJYRFJXAT,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
R8BHD66FQS,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
HOGW0X2DGS,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
OCNNMYHDFX,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
25NIK6P90P,ajmal kuro - perfume gift for men |long lasting scent spray,ajmal,bath body and hair,bath body and hair,3000.0,2550.0,15.0
G7S285P7C3,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2517.4,11.2
SDTS7M7ZU3,embryolisse lait creme fluid+,embryolisse,bath body and hair,bath body and hair,2795.0,2515.0,10.02
VM76DI74J5,"mymuse pulse targeted massager: 5 speeds, rechargeable & waterproof personal use",mymuse,hygiene and wellness,hygiene and wellness,5999.0,2499.0,58.34
DMOK4MZKN4,"mymuse pulse targeted massager: 5 speeds, rechargeable & waterproof personal use",mymuse,hygiene and wellness,hygiene and wellness,5999.0,2499.0,58.34
ZADRP1YRI9,"mymuse pulse targeted massager: 5 speeds, rechargeable & waterproof personal use",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2499.0,50.01
ZWT8YNOBSU,"mymuse pulse targeted massager: 5 speeds, rechargeable & waterproof personal use",mymuse,hygiene and wellness,hygiene and wellness,5999.0,2499.0,58.34
3PQH5ZY19T,"mymuse pulse targeted massager: 5 speeds, rechargeable & waterproof personal use",mymuse,hygiene and wellness,hygiene and wellness,4999.0,2499.0,50.01
2XFM61N4TO,beyond touch vibe full body massager,beyond touch,hygiene and wellness,hygiene and wellness,2999.0,2499.0,16.67
WJ2US9B6UU,beyond touch vibe full body massager,beyond touch,hygiene and wellness,hygiene and wellness,2999.0,2499.0,16.67
1MHWBQDRPA,gillette fusion manual shaving razor blades cartridge,gillette,beauty and grooming,beauty and grooming,2598.0,2474.0,4.77
5JY8ZXA1LX,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
LPQJDSTNJS,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
PIAHFOWLZV,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
9YD2SGNY8W,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
CQKPDWAX8A,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
M4Q4RC4PVY,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
6TZ75YGGJF,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
3FGHXHNQIJ,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
8DXWDUKHYD,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
7VOS0PJPL9,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
BK97TT07QS,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
4YQ4QKYP58,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
G46IGNM82H,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
09FH58QR9U,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
JDRIIVXZNW,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
K3RTF6L96Q,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
BNO8UD421Z,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
Q9JCMCAVFI,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
PS8X1VVMGU,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
W9S9LUFOAP,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
S01BXKBZQ2,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
YH11OVJGFC,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
54LM2UW9VK,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
84L0CAPIUC,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
NAC20HL9KG,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
JI64YJP4N8,gillette fusion 5-bladed cartridges with precision trimmer (pack of 10),gillette,beauty and grooming,beauty and grooming,2835.0,2438.0,14.0
