ITEM_ID,ITEM_NAME,AVG_RATING,REVIEW_COUNT,L2_CATEGORY
142118,Gush Beauty Glaze Lip Oil Gloss High Shine & Hydrating Pink Gloss - Candy Glaze 2.8ml,4.37,451,Lip Makeup
142118,Gush Beauty Glaze Lip Oil Gloss High Shine & Hydrating Pink Gloss - Candy Glaze 2.8ml,4.37,451,Lip Makeup
742052,Coloressence Pressed Perfect Tone Compact Powder (Dusky),3.71,451,Face Makeup
742052,Coloressence Pressed Perfect Tone Compact Powder (Dusky),3.71,451,Face Makeup
142056,"Fix My Curls Moisture Mask For Curly, Wavy, Dry & Coloured Hair",4.18,445,Shampoo And Conditioner
142056,"Fix My Curls Moisture Mask For Curly, Wavy, Dry & Coloured Hair",4.18,445,Shampoo And Conditioner
32270,Plum Green Tea Renewed Clarity Night Gel,4.37,426,Face Cream
32270,Plum Green Tea Renewed Clarity Night Gel,4.37,426,Face Cream
74771,Mirabelle Korea Berries Fairness Facial Mask,3.81,425,Face And Lip Care
74771,Mirabelle Korea Berries Fairness Facial Mask,3.81,425,Face And Lip Care
582458,"Muuchstac Mens Ocean Moisturizer & Sunscreen Matte Look Spf 18+ Cream With Turmeric & Aloe Vera Beads, Non-Sticky & Water Resistant",4.57,415,Beauty Accessories
582458,"Muuchstac Mens Ocean Moisturizer & Sunscreen Matte Look Spf 18+ Cream With Turmeric & Aloe Vera Beads, Non-Sticky & Water Resistant",4.57,415,Beauty Accessories
672933,"Mila Beauté Pink Lipstick (Cream, Matte Finish, Indian Skin)",4.36,414,Lip Makeup
672933,"Mila Beauté Pink Lipstick (Cream, Matte Finish, Indian Skin)",4.36,414,Lip Makeup
602525,Moody Premium Long Lasting (Edp) Perfume Gift Set Of 4 For Women,4.41,414,"Perfumes, Deos And Talc"
602525,Moody Premium Long Lasting (Edp) Perfume Gift Set Of 4 For Women,4.41,414,"Perfumes, Deos And Talc"
315219,Keo Karpin Non Sticky Hair Olive Oil,4.13,413,Hair Oil And Serum
315219,Keo Karpin Non Sticky Hair Olive Oil,4.13,413,Hair Oil And Serum
94484,"Renee Multicolour Fab 5 In 1 Lipstick (Crayon, Full Coverage, Matte)",3.95,410,Lip Makeup
94484,"Renee Multicolour Fab 5 In 1 Lipstick (Crayon, Full Coverage, Matte)",3.95,410,Lip Makeup
