ITEM_ID,MRP,SELLING_PRICE,DISCOUNT_PCT
57669,999.0,999.0,0.0
512314,320.0,278.0,13.13
3628,599.0,551.0,8.01
9774,199.0,199.0,0.0
4278,325.0,325.0,0.0
23769,360.0,360.0,0.0
47078,393.0,358.0,8.91
569,513.0,513.0,0.0
42895,110.0,110.0,0.0
181479,299.0,284.0,5.02
50253,137.0,137.0,0.0
783827,60.0,30.0,50.0
795905,1619.0,1609.0,0.62
24489,109.0,109.0,0.0
23707,330.0,330.0,0.0
92645,269.0,269.0,0.0
15249,250.0,250.0,0.0
314936,398.0,398.0,0.0
69098,275.0,275.0,0.0
35255,295.0,295.0,0.0
50051,299.0,299.0,0.0
41513,559.0,559.0,0.0
257988,299.0,299.0,0.0
605906,475.0,475.0,0.0
528,195.0,185.0,5.13
14719,420.0,420.0,0.0
792489,1138.0,956.0,15.99
81296,895.0,895.0,0.0
91858,1159.0,1044.0,9.92
4527,626.0,582.0,7.03
78750,1999.0,1999.0,0.0
68663,729.0,729.0,0.0
53464,400.0,400.0,0.0
16990,310.0,310.0,0.0
17211,820.0,765.0,6.71
78597,499.0,499.0,0.0
22623,699.0,690.0,1.29
41336,315.0,315.0,0.0
33038,399.0,399.0,0.0
539,292.0,263.0,9.93
1458,330.0,330.0,0.0
74626,2697.0,2023.0,24.99
22091,428.0,424.0,0.93
25866,309.0,309.0,0.0
27175,555.0,555.0,0.0
19073,910.0,840.0,7.69
25472,320.0,320.0,0.0
93617,1500.0,1495.0,0.33
54843,699.0,699.0,0.0
50613,7799.0,6629.0,15.0
14035,110.0,93.0,15.45
23620,230.0,230.0,0.0
69768,129.0,129.0,0.0
24856,608.0,608.0,0.0
56404,375.0,375.0,0.0
771166,1208.0,1200.0,0.66
59573,172.0,75.0,56.4
18464,799.0,799.0,0.0
81130,499.0,499.0,0.0
14780,699.0,665.0,4.86
26968,545.0,545.0,0.0
90375,99.0,99.0,0.0
90490,399.0,399.0,0.0
61149,695.0,695.0,0.0
88575,399.0,399.0,0.0
48394,160.0,129.0,19.38
41438,499.0,499.0,0.0
19657,1630.0,1210.0,25.77
97582,549.0,549.0,0.0
8343,178.0,178.0,0.0
26992,185.0,185.0,0.0
79482,499.0,499.0,0.0
30611,800.0,650.0,18.75
66095,899.0,899.0,0.0
12709,1228.0,1228.0,0.0
46948,540.0,405.0,25.0
89171,499.0,449.0,10.02
53941,99.0,99.0,0.0
6587,289.0,289.0,0.0
78013,600.0,600.0,0.0
47703,345.0,345.0,0.0
44596,165.0,165.0,0.0
42097,597.0,597.0,0.0
72140,590.0,580.0,1.69
32654,499.0,499.0,0.0
61596,499.0,499.0,0.0
49840,299.0,299.0,0.0
93859,740.0,740.0,0.0
